periodo,Precio_cobre_ nominal,Agropecuario-silvícola y pesquero (FOB),"Celulosa, papel y otros (FOB)",Cobre (Miles TM),TPM_USA,TPM_CHN,TPM_CHL,PMI_CHN,IPI_USA,IPI_KOR,IPI_JPN,Exp_Cobre ,Monto_FOB_Cobre,Precio_FMI,INV_BML, Peso_CHL/USD,Yuan_CHN/USD,Yea_JPN/USD,Won_KOR/USD,,,,,
Jan.2003,74.737,236.19,81.89,470.300,1.24,2.70,2.82,,0.70%,4.30%,0.50%,470.3,697.93,44.55,"836,025","722,48","82,775","1,188,133","11,764,524",,,,,
Feb.2003,76.376,233.42,95.00,375.300,1.26,2.70,2.75,,0.30%,10.50%,-0.40%,375.3,555.912,45.92,"820,950","745,21","8,278","1,193,379","11,903,684",,,,,
Mar.2003,75.250,357.70,109.91,342.700,1.25,2.70,2.75,,-0.20%,5.30%,0.60%,342.7,508.654,45.15,"814,700","743,28","82,773","1,186,871","1237,2",,,,,
Apr.2003,72.007,380.14,84.57,392.500,1.26,2.70,2.75,,-0.80%,2.40%,-1.30%,392.5,598.888,43.64,"769,825","718,25","82,772","119,895","12,311,045",,,,,
May.2003,74.765,194.17,129.73,374.200,1.26,2.70,2.75,,0.00%,-0.20%,1.40%,374.2,576.315,45.38,"744,600","703,58","82,769","1,173,681","12,012,333",,,,,
Jun.2003,76.498,122.96,79.90,413.900,1.22,2.70,2.75,,0.00%,9.10%,-0.80%,413.9,633.981,46.38,"665,675","709,18","82,771","118,329","11,941,429",,,,,
Jul.2003,77.564,102.28,132.43,395.300,1.01,2.70,2.75,,0.60%,1.30%,0.70%,395.3,626.625,47.01,"614,900","701,14","82,773","1,186,959","11,811,636",,,,,
Aug.2003,79.845,83.37,110.68,402.800,1.03,2.70,2.75,,-0.30%,2.00%,-1.30%,402.8,666.535,48.04,"621,050","703,77","8,277","1,186,624","1178,6",,,,,
Sep.2003,81.171,82.61,104.32,350.000,1.01,2.70,2.75,,0.60%,7.30%,2.90%,350,594.891,48.75,"580,025","675,44","82,772","114,8","11,654,048",,,,,
Oct.2003,87.114,74.41,124.73,429.800,1.01,2.70,2.75,,0.10%,8.30%,1.70%,429.8,730.499,51.91,"519,300","646,07","82,768","1,094,955","11,693,409",,,,,
Nov.2003,93.233,67.74,99.83,383.900,1,2.70,2.75,,0.80%,5.30%,-0.20%,383.9,677.692,54.65,"466,900","625,47","82,769","1,091,778","11,863,889",,,,,
